created_at,entry_id,field1,field2,field3,field4
2026-04-21 17:22:53 UTC,125,14.974,14.974,14.974,0
2026-04-21 17:23:08 UTC,126,14.975,14.975,14.975,0
2026-04-21 17:23:24 UTC,127,14.978,14.978,14.978,0
2026-04-21 17:23:40 UTC,128,14.978,14.978,14.978,0
2026-04-21 17:23:56 UTC,129,14.977,14.977,14.977,0
2026-04-21 17:24:11 UTC,130,14.976,14.976,14.976,0
2026-04-21 17:24:27 UTC,131,14.973,14.973,14.973,0
2026-04-21 17:26:25 UTC,132,-1.564,-1.564,-1.547,0
2026-04-21 17:26:40 UTC,133,-3.019,-3.032,-2.999,0
2026-04-21 17:26:56 UTC,134,-0.241,-0.201,-0.354,0
2026-04-21 17:27:12 UTC,135,-0.887,-0.890,-0.897,0
2026-04-21 17:27:41 UTC,136,-0.565,-0.421,-0.513,0
2026-04-21 17:27:57 UTC,137,-0.775,-1.001,-0.984,0
2026-04-21 17:28:13 UTC,138,-0.867,-0.931,-0.932,0
2026-04-21 17:28:29 UTC,139,-1.743,-1.747,-1.751,0
2026-04-21 17:28:45 UTC,140,-1.800,-1.804,-1.804,0
2026-04-21 17:29:01 UTC,141,-1.792,-1.789,-1.785,0
2026-04-21 17:29:16 UTC,142,-1.779,-1.775,-1.772,0
2026-04-21 17:29:32 UTC,143,-1.780,-1.777,-1.775,0
2026-04-21 17:29:48 UTC,144,-1.777,-1.777,-1.774,0
2026-04-21 17:33:43 UTC,145,0.33,-0.11,0.77,0
2026-04-21 17:35:51 UTC,146,0.73,-1.05,-0.48,1
2026-04-21 17:36:23 UTC,147,-0.37,-1.10,-0.76,0
2026-04-21 17:36:54 UTC,148,0.11,-1.21,-0.80,0
2026-04-21 17:38:13 UTC,149,-0.55,-0.63,-0.09,1
2026-04-21 17:38:43 UTC,150,-0.28,0.11,-0.98,0
2026-04-21 17:38:59 UTC,151,-0.08,0.08,-0.92,0
2026-04-21 17:39:15 UTC,152,-0.08,0.15,-0.95,0
2026-04-21 17:39:30 UTC,153,-0.98,2.32,-1.88,0
2026-04-21 17:39:46 UTC,154,-0.20,-1.19,-0.79,0
2026-04-21 17:40:01 UTC,155,-0.21,-1.14,-0.74,0
2026-04-21 17:40:17 UTC,156,-0.29,0.35,-0.47,0
2026-04-21 17:40:33 UTC,157,0.12,-1.26,-0.79,0
2026-04-21 17:41:04 UTC,158,-1.89,0.12,-1.06,1
2026-04-21 17:41:36 UTC,159,-0.00,-1.33,-0.74,1
2026-04-21 17:41:51 UTC,160,0.09,-1.37,-0.72,1
2026-04-21 17:42:22 UTC,161,0.01,-1.36,-0.74,1
2026-04-21 17:43:41 UTC,162,0.05,-1.36,-0.74,1
2026-04-21 17:43:56 UTC,163,0.03,-1.31,-0.73,1
2026-04-21 17:44:21 UTC,164,,,,1
2026-04-21 17:44:58 UTC,165,0.44,0.24,0.53,0
2026-04-21 17:45:46 UTC,166,0.25,-1.02,-0.26,1
2026-04-21 17:46:01 UTC,167,0.22,-1.13,-0.73,0
2026-04-21 17:46:17 UTC,168,0.23,-1.13,-0.73,0
2026-04-21 17:46:33 UTC,169,0.18,-1.12,-0.72,0
2026-04-21 17:48:23 UTC,170,0.46,-0.85,-0.68,0
2026-04-21 17:49:56 UTC,171,0.22,-1.19,-0.78,0
2026-04-21 17:50:12 UTC,172,-0.11,-1.38,0.04,1
2026-04-21 17:50:28 UTC,173,-0.01,-1.26,0.40,1
2026-04-21 17:50:44 UTC,174,0.59,2.95,1.28,1
2026-04-21 17:51:00 UTC,175,1.87,0.25,-0.47,1
2026-04-21 17:51:15 UTC,176,0.44,2.62,0.32,1
2026-04-21 17:51:31 UTC,177,0.71,-1.07,0.35,1
2026-04-21 17:51:46 UTC,178,0.76,1.80,-0.18,1
2026-04-21 17:53:17 UTC,179,,,,0
2026-04-21 17:57:11 UTC,180,-0.129,0.541,-1.229,0
2026-04-21 17:57:42 UTC,181,-0.049,0.554,-1.256,0
2026-04-21 17:57:58 UTC,182,-0.049,0.546,-1.205,0
2026-04-21 17:58:29 UTC,183,-0.137,0.502,-1.207,0
2026-04-21 17:58:45 UTC,184,-0.080,0.554,-1.261,0
2026-04-21 17:59:00 UTC,185,-0.980,-0.027,-1.612,1
2026-04-21 17:59:16 UTC,186,-1.012,-0.515,-1.161,1
2026-04-21 17:59:32 UTC,187,-4.620,4.068,-5.610,1
2026-04-21 18:00:03 UTC,188,-0.534,-1.073,-1.549,1
2026-04-21 18:00:34 UTC,189,-0.534,-1.066,-1.512,1
2026-04-21 18:01:36 UTC,190,,,,0
2026-04-21 18:03:26 UTC,191,-0.515,-0.998,-1.585,1
2026-04-21 18:04:45 UTC,192,-0.544,-1.015,-1.556,1
2026-04-21 18:05:00 UTC,193,-0.522,-1.015,-1.488,1
2026-04-21 18:06:34 UTC,194,-0.483,-0.973,-1.439,1
2026-04-21 18:06:50 UTC,195,-0.456,-0.963,-1.515,1
2026-04-21 18:07:22 UTC,196,-0.473,-0.983,-1.541,1
2026-04-21 18:08:09 UTC,197,-0.524,-0.929,-1.634,1
2026-04-21 18:08:25 UTC,198,-0.529,-0.966,-1.529,1
2026-04-21 18:09:43 UTC,199,-0.549,-0.980,-1.563,1
2026-04-21 18:10:15 UTC,200,0.154,0.427,-1.378,0
2026-04-21 18:10:34 UTC,201,0.090,0.424,-1.439,1
2026-04-21 18:12:55 UTC,202,-0.276,-1.093,-1.395,1
2026-04-21 18:13:27 UTC,203,-0.276,-1.098,-1.424,1
2026-04-21 18:15:16 UTC,204,-0.173,-0.980,-1.276,1
2026-04-21 18:15:48 UTC,205,-0.100,-1.002,-1.266,1
2026-04-21 18:16:35 UTC,206,-0.122,-0.920,-1.244,1
2026-04-21 18:17:38 UTC,207,-0.115,-0.941,-1.276,1
2026-04-21 18:17:54 UTC,208,-0.088,-0.963,-1.322,1
2026-04-21 18:18:09 UTC,209,-0.127,-0.954,-1.276,1
2026-04-21 19:49:54 UTC,210,-0.046,-1.080,-1.741,1
2026-04-21 19:50:10 UTC,211,-0.078,-1.080,-1.785,1
2026-04-21 19:50:41 UTC,212,-1.256,-0.337,-0.598,1
2026-04-21 19:54:06 UTC,213,-0.393,-0.707,-0.322,1
2026-04-21 19:57:48 UTC,214,-0.647,-0.847,-1.030,0
2026-04-21 19:58:04 UTC,215,-1.707,-1.705,-1.706,0
2026-04-21 20:12:57 UTC,216,-1.264,-1.458,-1.633,0
2026-04-21 20:14:08 UTC,217,-0.556,-0.076,-0.867,0
2026-04-21 20:14:24 UTC,218,-0.234,-0.035,-2.085,0
2026-04-21 20:14:40 UTC,219,0.210,-0.018,-0.734,0
2026-04-21 20:16:51 UTC,220,0.330,-0.082,-1.722,0
2026-04-21 20:17:24 UTC,221,0.353,-0.651,-0.955,0
2026-04-21 20:18:12 UTC,222,0.352,-0.665,-0.969,0
2026-04-21 20:18:59 UTC,223,0.358,-0.701,-0.936,0
2026-04-21 20:19:15 UTC,224,0.359,-0.705,-0.932,0
